Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,30652.000000,30684.050781,30249.400391,30273.250000,30273.250000,0
2019-06-18,30299.449219,30550.650391,30222.849609,30351.000000,30351.000000,0
2019-06-19,30526.500000,30699.150391,30242.000000,30362.099609,30362.099609,0
2019-06-20,30390.199219,30824.550781,30220.699219,30781.099609,30781.099609,0
2019-06-21,30804.949219,30804.949219,30541.500000,30628.349609,30628.349609,0
2019-06-24,30680.949219,30783.650391,30528.000000,30602.050781,30602.050781,0
2019-06-25,30567.650391,30913.250000,30451.400391,30847.050781,30847.050781,0
2019-06-26,30809.199219,31202.699219,30766.650391,31162.349609,31162.349609,0
2019-06-27,31192.099609,31490.599609,31158.800781,31269.500000,31269.500000,0
2019-06-28,31281.000000,31308.900391,31060.599609,31105.199219,31105.199219,0
2019-07-01,31271.000000,31449.650391,31247.449219,31372.199219,31372.199219,0
2019-07-02,31414.650391,31431.349609,31105.099609,31283.300781,31283.300781,0
2019-07-03,31347.699219,31466.349609,31242.099609,31382.300781,31382.300781,0
2019-07-04,31471.000000,31608.349609,31428.050781,31471.849609,31471.849609,242986000
2019-07-05,31523.050781,31660.750000,31323.250000,31475.800781,31475.800781,0
2019-07-08,31346.849609,31346.849609,30538.550781,30603.849609,30603.849609,0
2019-07-09,30533.400391,30702.050781,30348.849609,30569.150391,30569.150391,0
2019-07-10,30618.050781,30728.349609,30431.250000,30522.099609,30522.099609,0
2019-07-11,30707.000000,30787.000000,30566.099609,30716.550781,30716.550781,0
2019-07-12,30789.750000,30861.400391,30550.750000,30601.449219,30601.449219,0
2019-07-15,30688.849609,30688.849609,30334.650391,30445.949219,30445.949219,0
2019-07-16,30532.650391,30632.150391,30430.150391,30570.800781,30570.800781,0
2019-07-17,30622.250000,30799.300781,30570.050781,30735.500000,30735.500000,0
2019-07-18,30705.800781,30768.099609,30379.000000,30430.599609,30430.599609,0
2019-07-19,30515.099609,30537.650391,29705.900391,29770.349609,29770.349609,0
2019-07-22,29617.050781,29635.150391,29194.099609,29284.949219,29284.949219,339800
2019-07-23,29342.449219,29364.400391,29078.800781,29128.099609,29128.099609,0
2019-07-24,29085.449219,29250.750000,28872.300781,28952.250000,28952.250000,0
2019-07-25,28981.050781,29240.800781,28931.050781,29043.050781,29043.050781,0
2019-07-26,29062.500000,29377.599609,28999.550781,29325.300781,29325.300781,0
2019-07-29,29583.449219,29583.449219,29106.750000,29295.900391,29295.900391,0
2019-07-30,29434.849609,29528.300781,28739.500000,28791.599609,28791.599609,0
2019-07-31,28575.449219,28974.199219,28537.000000,28876.000000,28876.000000,0
2019-08-01,28660.500000,28819.699219,28047.349609,28367.250000,28367.250000,0
2019-08-02,28224.250000,28541.199219,27937.550781,28204.949219,28204.949219,310300
2019-08-05,27841.199219,27866.550781,27389.500000,27648.050781,27648.050781,0
2019-08-06,27518.500000,28147.400391,27518.500000,28022.099609,28022.099609,0
2019-08-07,28053.849609,28175.550781,27641.849609,27702.050781,27702.050781,0
2019-08-08,27840.099609,28225.000000,27531.949219,28110.449219,28110.449219,0
2019-08-09,28293.650391,28602.199219,28254.699219,28431.900391,28431.900391,0
2019-08-13,28356.800781,28358.849609,27683.500000,27729.099609,27729.099609,0
2019-08-14,27885.500000,28104.599609,27729.400391,28019.199219,28019.199219,0
2019-08-16,27920.300781,28250.150391,27720.949219,28217.000000,28217.000000,0
2019-08-19,28331.250000,28468.900391,28146.500000,28186.099609,28186.099609,0
2019-08-20,28029.800781,28038.599609,27864.599609,27982.449219,27982.449219,0
2019-08-21,28021.000000,28098.900391,27666.199219,27719.050781,27719.050781,0
